THRESHOLD,BACKBONE,GEO_HEAD,PNP_HEAD
0,0.010573494017601538,0.0016297851162658415,0.025579552895075935
1,0.010836509816891434,0.0016715482658889126,0.024843390731506012
2,0.010186865358922312,0.001623012370022772,0.025219056090157496
3,0.010870084214496928,0.001616905347430077,0.024735243179035096
4,0.010633257635396404,0.0016023764373903073,0.024696906496204398
5,0.010334950895165678,0.001550769082378203,0.024862772765237108
6,0.010369678730514817,0.001548117042481712,0.025111156553802215
7,0.010301610712317666,0.0015250947303021673,0.02469946247064532
8,0.01047784980531576,0.0015786360567856823,0.024249000903616785
9,0.010256199014078283,0.0015263432869687676,0.02442049127933218
10,0.011122497240895752,0.0016681880844597841,0.023386151015632153
11,0.010056674163367356,0.0014575687114233573,0.024277751890933095
12,0.010238732692163119,0.001469951024133918,0.023951541238707776
13,0.010103972631637662,0.0014650776705016667,0.024098604530840177
14,0.010270184478090711,0.0014600959143147396,0.023664171144076103
15,0.010212574119038469,0.0014551055568490345,0.023690650096846434

